character	dialogue_line	episode
SKYLER	You want me to go ask for another?	E309
SKYLER	"A “warning call?”  What do you mean? BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      11."	E309
SKYLER	Are we safe?	E309
SKYLER	Are you safe?	E309
SKYLER	"You’ve got all these nice tulips there, and good baby’s breath... BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      15."	E309
SKYLER	Wow, look at the size of this basket.  It’s got so many goodies in it!  Look.  Chocolate-covered pretzels and, uh, cheese sticks and some fancy designer olives...	E309
SKYLER	No.  He’s great.	E309
SKYLER	"Thank God. Marie’s already racing ahead to the next logical step. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      18."	E309
SKYLER	When does he start physical therapy? The Hospital Administrator speaks up.  She thinks she’s delivering good news to Marie.	E309
SKYLER	Actually -- she asked the doctor. Both sisters turn to the man, who tries to remain politic.	E309
SKYLER	So what?  We’re just supposed to compromise on his care?	E309
SAUL	"Hey... there he is!  Finally!  I went ahead and started without you. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      21."	E309
SAUL	Ladies, this is Jesse-San.  He’s in for the full treatment. (to Jesse) Hey, kick off your shoes, lay back... exfoliate.	E309
SAUL	So, where’s the maestro?  He out parking the mini-van? The mention of Walt just annoys Jesse.	E309
SAUL	Hmm.  I was gonna have you two flip a coin.  Since the genius can’t be bothered... (screw it) Today’s your lucky day.  Look around, kiddo, it’s all yours.	E309
SAUL	Yeah.  You are now owner of this fine establishment.	E309
SAUL	"“Free?”  Oh ladies, cover your ears! (back to Jesse) BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      22."	E309
SAUL	Don’t you get it?  On the outside it’s a nail salon, right -- on the inside it’s the best money laundry a growing boy could ask for. Jesse squints at the lawyer, shakes his head and snorts -- ridiculous.  He turns and heads for the door.	E309
SAUL	Wait, wait, wait!  Hey!  Ladies, thank you, good job.  Come back here. The women drift away, busying themselves elsewhere -- texting and what-not.  Saul pulls out his toe spacers and dries off.	E309
SAUL	Sit.  Come on, come on.  Humor me for a second.  Now... you know you need to launder your money, right? (Jesse stubbornly stares) Do you understand the basics of it? Placement?  Layering?  Integration? Jesse lingers impatiently, ready to leave at any second.	E309
SAUL	"You wanna stay out of jail, dontcha?  You wanna keep your money and your freedom?  Because I’ve got three little letters for you:  I--R- -S.  If they can get Capone, they can get you. BREAKING BAD #309     ""Kafkaesque""     AS BROADCAST      23."	E309
